X_world,Y_world,R_world
-1.464850037548262129e+01,6.979053704515192749e+02,3.951569843647580460e-01
-1.218349801365468466e+01,6.978119981574470785e+02,3.424693864494569584e-01
-1.147834436661359625e+01,7.016503747983025505e+02,3.336881201302401290e-01
-1.188174492041606101e+01,6.827146086288877314e+02,3.951569843647580460e-01
-1.190869131616255494e+01,6.829268923621990552e+02,3.951569843647580460e-01
-1.075946006047071890e+01,6.920601454839020334e+02,2.546567232572884976e-01
-1.397770096223589675e+01,6.996195117553418186e+02,2.985630548533727557e-01
-1.064425447540351577e+01,7.030561498757956542e+02,2.458754569380716681e-01
-1.316960460184037984e+01,6.856865556187225366e+02,2.546567232572884976e-01
-1.356327113542047691e+01,6.917679573116665779e+02,3.161255874918064146e-01
-1.477097777861094130e+01,6.924110356315650279e+02,3.512506527686737878e-01
-1.165473708191398039e+01,7.025489449926735688e+02,2.458754569380716681e-01
-1.163594639893512905e+01,6.928999593820651626e+02,3.336881201302401290e-01
-9.391008438239992984e+00,6.915124346095039982e+02,2.985630548533727557e-01
-1.386647165420412264e+01,7.009644948442892201e+02,2.810005222149390414e-01
-1.183276557351785030e+01,6.985344811606385065e+02,2.283129242996379815e-01
-1.487648534734796435e+01,7.024697063265587076e+02,2.810005222149390414e-01
-1.420796118498108562e+01,7.038663683601785124e+02,2.634379895765053270e-01
-1.217242080903922918e+01,7.019046752459187246e+02,2.195316579804211243e-01
-1.296833800518623825e+01,6.948516502692349377e+02,2.458754569380716681e-01
-1.288433787904268080e+01,6.895945678181117273e+02,2.370941906188548109e-01
-1.401767057605599831e+01,6.973775924936031743e+02,2.107503916612042949e-01
-1.241837320356128060e+01,6.992828363551119537e+02,2.370941906188548109e-01
-1.279029365634661985e+01,6.851682330568191901e+02,2.107503916612042949e-01
-1.156742643358207623e+01,6.850072401721732831e+02,2.195316579804211243e-01
-1.221559834078175300e+01,7.021020413079046421e+02,2.283129242996379815e-01
8.907144934819216653e-01,6.997022180740947306e+02,1.844065927035537511e-01
-1.262597888673970736e+01,6.838216425597375974e+02,2.195316579804211243e-01
-1.226139335027864874e+01,6.979707416449740549e+02,2.546567232572884976e-01
-2.466729941896182154e+01,6.826181716005115732e+02,3.073443211725895852e-01
-1.320191163007817181e+01,6.962456127495831879e+02,1.931878590227705805e-01
-1.336907093763327481e+01,7.021141918554887980e+02,1.844065927035537511e-01
-1.144961415677951599e+01,7.033774443521228932e+02,1.229377284690358341e-01
-2.048869310400467114e+01,6.987596665890249596e+02,1.405002611074695207e-01
-1.337006430610380470e+01,6.950302869998919277e+02,1.229377284690358341e-01
-1.494960923851366097e+01,6.924026048705061385e+02,1.844065927035537511e-01
-1.193877569162351548e+01,7.162434933851566257e+02,2.985630548533727557e-01
-1.333481631975935677e+01,7.149284790580403524e+02,2.810005222149390414e-01
-1.209835997256751483e+01,7.081064861645172641e+02,2.985630548533727557e-01
-1.033125494594815486e+01,7.303999179624339604e+02,2.283129242996379815e-01
-1.175060173206495584e+01,7.187087397452287405e+02,2.810005222149390414e-01
-1.383915400488175607e+01,7.244045374560016626e+02,1.844065927035537511e-01
-1.385875992125439637e+01,7.095956322701968020e+02,2.546567232572884976e-01
-8.544452955605272848e+00,7.326262633594952831e+02,1.756253263843368939e-01
-1.128927292917487613e+01,7.100776595904361557e+02,2.195316579804211243e-01
-1.637595026301711698e+01,7.073092773323197662e+02,2.195316579804211243e-01
-1.791969099579647917e+01,7.173651911194580180e+02,1.405002611074695207e-01
-7.106714023713117889e+00,7.301851550097576364e+02,1.756253263843368939e-01
-9.829967194860952162e+00,7.274284528268631220e+02,1.580627937459032073e-01
-1.391753341220326057e+01,7.076763060354107893e+02,1.580627937459032073e-01
-2.429156491661709438e+01,7.076649228337004160e+02,1.141564621498189908e-01
-1.823472786340305163e+01,7.141386594584015484e+02,1.053751958306021475e-01
-1.337958092053759707e+01,7.195484102420575709e+02,2.283129242996379815e-01
-1.203178035953765956e+01,7.325664733473416845e+02,2.370941906188548109e-01
-7.864229566283196249e+00,7.432298410752975997e+02,3.600319190878906728e-01
-9.204651162598748826e+00,7.439587567883111205e+02,3.249068538110232440e-01
-1.362124581956799396e+01,7.352384274273640585e+02,2.634379895765053270e-01
-1.192805049536866768e+01,7.369616478474612222e+02,2.283129242996379815e-01
-1.510208342765817058e+01,7.381248822313232267e+02,2.458754569380716681e-01
-1.167458809682508480e+01,7.390026082050137575e+02,2.634379895765053270e-01
-1.039989242931167901e+01,7.372043678045523620e+02,2.458754569380716681e-01
-1.571807410294636043e+01,7.517252112634129162e+02,1.931878590227705805e-01
-9.841659117258396705e+00,7.507708673266677124e+02,2.195316579804211243e-01
-1.272252435155353290e+01,7.518032240838799680e+02,1.756253263843368939e-01
-1.307325298336639818e+01,7.469580445732927956e+02,1.580627937459032073e-01
-7.361597555479995947e+00,7.331899848670409483e+02,2.107503916612042949e-01
-2.262400136756624036e+01,7.448768717349030339e+02,1.756253263843368939e-01
-1.245511131455487686e+01,7.363348907022376579e+02,2.107503916612042949e-01
-1.673932382700479238e+01,7.413658136418343929e+02,1.492815274266863779e-01
-1.311891300959999818e+01,7.393322158156319119e+02,1.492815274266863779e-01
-1.780916077112774332e+01,7.320413013418764194e+02,1.317189947882526635e-01
-1.450734714329875708e+01,7.365416442165956141e+02,1.405002611074695207e-01
